Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
137918884.2770,-12.4741,-5.3628,-18.4897
138019409.1800,-0.8651,6.5370,-6.0397
138119934.0820,-4.6961,2.5268,-9.8797
138220458.9840,4.0529,11.2966,-2.0397
138320983.8870,2.1819,9.2463,-3.4297
138421508.7890,6.1209,12.6762,-0.0697
138522033.6910,5.4400,12.2759,-0.7797
138622558.5940,5.4205,12.8660,-0.4697
138723083.4960,5.6311,12.9860,0.0203
138823608.3980,6.5117,12.7761,-0.4997
138924133.3010,5.9723,12.8461,-0.4497
139024658.2030,6.6029,12.8762,0.2303
139125183.1050,6.5935,12.6162,-0.4297
139225708.0080,6.2141,13.3363,0.2003
139326232.9100,6.5447,13.3463,0.4403
139426757.8120,5.6953,13.0863,-0.3397
139527282.7150,5.8259,13.0964,-0.2097
139627807.6170,6.1865,13.2064,-0.2397
139728332.5200,6.1071,13.2965,-0.1697
139828857.4220,6.0977,12.7865,-0.4397
139929382.3240,5.9982,12.9366,-0.4497
140029907.2270,5.5483,12.5367,-0.5997
140130432.1290,5.9084,12.8668,-0.4997
140230957.0310,5.5184,12.3869,-0.0197
140331481.9340,5.4385,12.4770,-0.2497
140432006.8360,5.5286,12.9071,-0.4197
140532531.7380,5.6387,12.9672,-0.2897
140633056.6410,5.6488,12.5573,-0.1297
140733581.5430,5.5189,12.4174,-0.1797
140834106.4450,5.7289,12.7375,0.0803
140934631.3480,5.6490,12.6576,-0.0897
141035156.2500,6.0891,13.0377,-0.0597
141135681.1520,5.8292,12.7478,-0.0697
141236206.0550,5.7193,13.4879,-0.0397
141336730.9570,5.9789,13.2679,0.0503
141437255.8590,6.3278,13.5178,-0.1097
141537780.7620,6.2367,13.7477,0.1203
141638305.6640,6.7057,13.8176,0.3403
141738830.5660,6.3246,13.5174,-0.1997
141839355.4690,6.7235,14.0673,0.4903
141939880.3710,6.6624,13.9672,0.7203
142040405.2730,6.3013,13.4571,0.4103
142140930.1760,6.6102,13.6869,0.3703
142241455.0780,6.7091,13.6168,-0.0797
142341979.9800,6.4380,13.3667,0.1103
142442504.8830,6.5370,13.5165,0.1403
142543029.7850,6.6259,13.6264,-0.0097
142643554.6880,6.5848,13.4163,0.2203
142744079.5900,6.4638,13.4561,0.2603
142844604.4920,5.7728,13.6159,-0.1097
142945129.3950,6.2218,13.3656,0.0403
143045654.2970,6.3208,13.8854,0.4103
143146179.1990,5.5598,13.8351,-0.0297
143246704.1020,6.3988,13.2049,0.0303
143347229.0040,6.9178,13.4246,0.1803
143447753.9060,4.2268,11.7044,-1.0097
143548278.8090,5.3858,12.8642,-0.0597
143648803.7110,-0.6452,6.8339,-6.7297
143749328.6130,2.4238,9.6437,-3.2497
143849853.5160,-9.4572,-2.0366,-15.4497
143950378.4180,-5.8082,1.3632,-11.9697
144050903.3200,1.1608,8.3129,-5.2497
144151428.2230,-3.0191,4.1028,-9.0397
144251953.1250,5.1913,12.5626,-0.9997
144352478.0270,3.4616,11.0124,-2.8797
144453002.9300,6.3120,13.3723,0.3503
144553527.8320,6.1624,13.3021,0.1803
144654052.7340,6.9927,13.4419,0.3203
