Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
137617309.5700,-33.7517,-21.3969,-44.5697
137717834.4730,-42.9028,-23.4569,-54.7097
137818359.3750,-10.7338,-1.8970,-21.3897
137918884.2770,-16.8449,-7.8470,-27.4197
138019409.1800,-4.7159,3.8429,-15.8897
138119934.0820,-8.6670,0.0029,-19.5997
138220458.9840,-0.0980,8.7528,-10.6197
138320983.8870,-2.0390,6.6127,-12.4997
138421508.7890,0.8499,10.3727,-9.0897
138522033.6910,0.8789,10.1926,-9.4897
138622558.5940,1.3686,10.4526,-9.4497
138723083.4960,0.9283,10.2727,-9.2897
138823608.3980,0.9881,10.2027,-9.6897
138924133.3010,1.2778,10.4827,-9.4597
139024658.2030,1.5675,10.3828,-9.0097
139125183.1050,1.1273,10.4628,-9.4397
139225708.0080,1.5070,10.2128,-9.2597
139326232.9100,1.5267,10.3328,-9.2097
139426757.8120,1.3165,10.0928,-8.7097
139527282.7150,1.5062,10.0829,-8.6997
139627807.6170,1.6259,10.2529,-9.0597
139728332.5200,1.4357,10.2029,-9.0997
139828857.4220,1.2654,10.2930,-9.4097
139929382.3240,1.3253,10.1930,-8.9597
140029907.2270,1.7260,10.4130,-9.1497
140130432.1290,1.3468,10.6331,-9.3697
140230957.0310,1.2875,10.2632,-8.9597
140331481.9340,1.6482,10.4832,-9.2597
140432006.8360,1.0189,10.2033,-8.6797
140532531.7380,1.2396,10.0734,-8.7997
140633056.6410,1.0704,9.9734,-9.1897
140733581.5430,1.0711,10.3435,-8.8297
140834106.4450,1.1718,10.3135,-9.0697
140934631.3480,1.0425,9.8236,-9.0997
141035156.2500,1.2233,10.4337,-9.1097
141135681.1520,1.1240,10.7337,-9.0497
141236206.0550,1.8147,10.4438,-8.7397
141336730.9570,1.7453,9.7238,-9.0197
141437255.8590,1.6958,10.4437,-9.4497
141537780.7620,1.6662,10.9937,-9.1397
141638305.6640,1.7566,10.8336,-9.1197
141738830.5660,1.7271,10.6035,-9.1197
141839355.4690,1.9175,10.9534,-8.4297
141939880.3710,1.7479,11.0734,-8.6697
142040405.2730,1.9384,11.6533,-8.7897
142140930.1760,2.4088,11.2332,-8.2497
142241455.0780,1.9492,10.7932,-8.2497
142341979.9800,1.7597,11.1931,-8.7197
142442504.8830,1.7801,10.9830,-8.9797
142543029.7850,1.9305,11.0029,-8.5797
142643554.6880,1.5410,10.8829,-8.6497
142744079.5900,1.5409,10.7427,-9.1097
142844604.4920,2.0205,11.0826,-8.6797
142945129.3950,1.7701,11.0524,-8.4597
143045654.2970,2.2896,11.0823,-8.9597
143146179.1990,2.3092,10.8721,-8.8797
143246704.1020,1.9988,11.2020,-8.4597
143347229.0040,2.3784,11.4818,-8.4997
143447753.9060,0.1580,8.9217,-10.8597
143548278.8090,1.4475,10.2215,-9.6597
143648803.7110,-4.9229,4.1414,-15.4197
143749328.6130,-1.9333,6.8812,-12.2597
143849853.5160,-14.0637,-5.0489,-24.3097
143950378.4180,-10.3241,-0.7891,-20.6597
144050903.3200,-3.6046,5.3008,-14.3197
144151428.2230,-7.5649,1.3706,-18.4297
144251953.1250,0.3549,9.9705,-9.8897
144352478.0270,-1.0454,8.0204,-11.6097
144453002.9300,1.8543,10.6303,-8.7297
144553527.8320,0.8641,10.6002,-8.9397
144654052.7340,2.0538,11.1001,-8.4597
144754577.6370,2.2536,10.8100,-8.7097
144855102.5390,1.6933,11.5999,-8.3797
144955627.4410,1.9730,11.3798,-8.4997
145056152.3440,1.7628,11.2497,-8.4197
145156677.2460,1.2225,11.3896,-8.2997
145257202.1480,2.1323,11.6995,-8.6497
145357727.0510,2.3620,11.3393,-8.3397
145458251.9530,1.5717,10.8892,-8.4797
145558776.8550,1.7227,11.4092,-8.8497
145659301.7580,1.6237,10.6891,-8.7697
145759826.6600,1.5446,10.7091,-8.2997
145860351.5620,2.0256,10.7290,-8.5897
145960876.4650,1.5966,10.5990,-8.6097
146061401.3670,2.1276,10.5089,-8.7197
146161926.2700,1.9686,10.8189,-8.9297
146262451.1720,2.0596,11.3388,-8.1797
146362976.0740,2.1206,10.8188,-8.3097
146463500.9770,1.7216,10.9487,-8.7497
146564025.8790,1.9825,11.1787,-8.5797
146664550.7810,1.6635,10.9186,-9.0497
146765075.6840,1.5245,10.8386,-8.9897
146865600.5860,1.4555,10.8985,-9.0197
146966125.4880,1.3765,11.0785,-8.7397
147066650.3910,1.2675,10.2284,-8.8997
147167175.2930,1.2885,10.4883,-9.0597
147267700.1950,0.9995,10.4483,-9.1597
147368225.0980,1.3205,10.2482,-8.8297
147468750.0000,1.0616,10.5181,-8.9197
147569274.9020,1.1126,10.5980,-9.6697
147669799.8050,1.4436,10.3580,-8.4697
147770324.7070,1.5746,10.2379,-8.4397
147870849.6090,1.2556,9.9578,-9.1897
147971374.5120,1.2166,10.2577,-8.8497
148071899.4140,0.8276,10.2377,-9.5897
148172424.3160,1.2786,10.2976,-9.4997
148272949.2190,1.2494,10.4075,-9.2097
148373474.1210,0.8096,10.1873,-9.3997
148473999.0230,1.2998,10.6471,-9.6697
148574523.9260,1.4300,10.3870,-9.6097
148675048.8280,1.5703,10.3968,-8.8397
148775573.7300,1.7405,10.4666,-9.2497
148876098.6330,1.1707,10.1965,-9.4097
148976623.5350,1.2309,10.3763,-9.1197
149077148.4380,0.3012,10.1961,-9.3697
149177673.3400,0.6914,10.4259,-9.4197
149278198.2420,1.0216,9.9858,-9.2997
149378723.1450,0.8419,10.1456,-9.1597
149479248.0470,-1.3379,7.6954,-11.9497
149579772.9490,0.2923,9.3853,-10.4597
149680297.8520,-7.3175,2.4051,-17.5297
149780822.7540,-3.4973,5.7849,-14.0297
149881347.6560,-12.9671,-3.7453,-23.2597
149981872.5590,-13.8669,-4.1954,-23.7697
150082397.4610,-3.7668,6.2644,-14.5197
150182922.3630,-6.9366,2.4642,-17.5097
150283447.2660,0.2336,10.2040,-10.1997
150383972.1680,-1.2862,8.6039,-12.1297
150484497.0700,1.0840,10.5237,-8.8097
150585021.9730,1.0341,10.5735,-8.9997
150685546.8750,1.3743,10.6933,-8.5897
150786071.7770,1.1945,10.8032,-8.8697
150886596.6800,1.2547,10.4030,-8.6597
150987121.5820,1.4348,10.4328,-8.8197
151087646.4840,1.3447,10.8427,-8.8797
151188171.3870,1.3245,10.6425,-8.1697
151288696.2890,0.5542,10.3723,-9.6397
151389221.1910,0.8740,10.7121,-9.5197
151489746.0940,1.3737,10.4919,-9.1397
151590270.9960,1.2035,10.6617,-9.2697
151690795.8980,1.2132,10.4516,-9.5597
151791320.8010,0.9330,10.5614,-9.4797
151891845.7030,1.5227,10.7212,-9.3197
151992370.6050,1.4325,10.5710,-9.4397
152092895.5080,1.1923,10.4008,-8.6297
152193420.4100,1.5520,10.5207,-8.9897
152293945.3120,0.9518,10.6905,-9.5897
152394470.2150,0.8315,10.5203,-8.9797
152494995.1170,1.3005,10.2801,-8.9597
152595520.0200,1.1294,10.3799,-9.3397
152696044.9220,1.1683,10.5897,-9.1197
152796569.8240,1.0472,10.4496,-8.8397
152897094.7270,1.2861,10.5194,-9.0097
152997619.6290,1.3350,10.5992,-9.3397
153098144.5310,1.2439,10.2890,-8.9197
153198669.4340,1.4929,10.3088,-8.9197
153299194.3360,1.0418,10.7386,-8.7297
153399719.2380,1.2107,10.5984,-8.7597
153500244.1410,1.7196,10.4683,-9.2397
153600769.0430,1.6685,10.5481,-8.9597
153701293.9450,0.9574,10.5779,-9.0497
153801818.8480,1.1563,10.2977,-9.2197
153902343.7500,0.8050,10.9176,-8.9197
154002868.6520,0.8137,11.0074,-8.9497
154103393.5550,0.6324,10.2673,-9.3697
154203918.4570,0.5811,10.5972,-8.9597
