Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
150786071.7770,6.7485,10.5364,-6.7497
150886596.6800,6.9777,10.9860,-5.4697
150987121.5820,6.8370,10.7356,-5.5797
151087646.4840,6.4870,10.8353,-5.5897
151188171.3870,7.0572,10.9051,-5.3297
151288696.2890,6.7674,10.9648,-6.3197
151389221.1910,6.4675,10.8746,-6.0097
151489746.0940,7.2577,11.3743,-5.4297
151590270.9960,7.1679,11.2641,-5.7597
151690795.8980,7.1981,10.7638,-5.2097
151791320.8010,6.7983,11.1536,-5.1197
151891845.7030,7.1085,11.8533,-5.5597
151992370.6050,7.3087,11.4930,-5.4097
152092895.5080,7.4389,11.6528,-5.5697
152193420.4100,7.2790,11.8425,-5.6897
152293945.3120,7.0692,11.5423,-5.1997
152394470.2150,7.3194,11.7820,-5.2997
152494995.1170,6.9608,11.2918,-5.0997
152595520.0200,7.0223,11.1716,-5.2497
152696044.9220,6.8137,11.6914,-5.8097
152796569.8240,6.5952,11.3912,-5.5797
152897094.7270,6.7867,11.3211,-5.0397
152997619.6290,7.0081,11.6909,-5.2797
153098144.5310,7.6796,11.1107,-5.3697
153198669.4340,7.1210,11.1805,-5.3097
153299194.3360,7.3025,11.1903,-5.3297
153399719.2380,7.6840,10.8801,-5.2997
153500244.1410,6.7354,10.7199,-5.4897
153600769.0430,6.8569,11.0697,-5.4697
153701293.9450,6.6283,10.8495,-5.6097
153801818.8480,6.4699,11.0793,-5.5097
153902343.7500,6.8121,10.6992,-5.6997
154002868.6520,6.6043,10.4790,-5.7197
154103393.5550,7.3066,10.9789,-4.9097
154203918.4570,7.2688,10.9287,-5.3097
154304443.3590,7.6110,11.1086,-5.4497
154404968.2620,7.5132,10.9084,-5.1797
154505493.1640,7.5655,10.7783,-5.9497
154606018.0660,7.2877,11.2281,-5.6997
154706542.9690,7.5799,10.9680,-5.7297
154807067.8710,7.5721,10.7978,-5.7397
