Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
145357727.0510,3.2484,10.6274,-6.3897
145458251.9530,3.5892,11.0773,-5.4797
145558776.8550,3.6106,11.1071,-5.9297
145659301.7580,3.6520,11.4568,-6.3497
145759826.6600,3.6935,11.0866,-5.8497
145860351.5620,3.9749,11.7863,-5.8497
145960876.4650,3.7564,11.6061,-5.9297
146061401.3670,3.7078,10.7258,-6.3497
146161926.2700,3.5892,11.3456,-6.2197
146262451.1720,3.9707,10.6253,-6.0897
146362976.0740,3.7421,10.5851,-6.2597
146463500.9770,3.6435,10.8148,-6.0697
146564025.8790,3.9650,10.6046,-6.1097
146664550.7810,3.9964,11.0043,-6.8697
146765075.6840,3.8279,10.9841,-6.2397
146865600.5860,3.6393,11.0239,-6.4897
146966125.4880,3.7106,10.7739,-6.5897
147066650.3910,3.1020,10.5838,-6.3997
147167175.2930,3.3333,11.1638,-6.4697
147267700.1950,3.5647,10.5537,-6.1997
147368225.0980,3.6860,10.4937,-6.4097
147468750.0000,3.1874,10.4437,-6.7797
147569274.9020,3.0787,10.6736,-6.4597
147669799.8050,3.2501,9.8136,-6.4197
147770324.7070,3.2214,10.1735,-6.6097
147870849.6090,3.1828,10.5435,-6.0497
147971374.5120,3.2841,10.2435,-6.1497
148071899.4140,3.0354,10.0534,-6.5397
148172424.3160,3.3168,10.1334,-6.5997
148272949.2190,3.3381,10.2234,-6.4097
148373474.1210,3.0193,10.1135,-6.4797
148473999.0230,3.5405,10.3836,-6.3297
148574523.9260,3.7816,10.4836,-6.4197
148675048.8280,3.4828,10.5537,-6.7897
148775573.7300,3.5640,10.4238,-6.6597
148876098.6330,2.9652,10.2839,-6.8197
148976623.5350,3.2564,10.3840,-6.4997
149077148.4380,3.4776,10.4240,-6.6297
149177673.3400,3.0987,10.6441,-6.8297
149278198.2420,2.7599,9.8642,-6.7997
149378723.1450,3.1411,10.0843,-6.5497
149479248.0470,0.3723,7.6944,-8.7797
149579772.9490,1.9835,9.1245,-7.5697
149680297.8520,-5.6153,2.3844,-14.8997
149780822.7540,-1.9642,5.7243,-11.0797
149881347.6560,-10.9830,-3.2858,-20.8597
149981872.5590,-11.5619,-3.4059,-20.8897
150082397.4610,-1.2907,5.8140,-11.0097
150182922.3630,-5.0996,2.4139,-14.6497
150283447.2660,1.9116,9.8438,-7.5297
150383972.1680,0.7227,8.1937,-9.0897
150484497.0700,3.0439,10.8936,-6.4597
150585021.9730,2.9051,10.8035,-6.8297
150685546.8750,2.9562,10.3234,-6.5497
150786071.7770,2.8174,10.5133,-6.4397
150886596.6800,3.6085,11.1632,-6.5697
150987121.5820,3.3197,10.8930,-6.2997
151087646.4840,3.4010,10.6729,-6.7497
151188171.3870,3.4824,10.8528,-6.5197
151288696.2890,3.3438,10.7227,-6.4797
151389221.1910,3.7351,10.5825,-6.8297
151489746.0940,3.4265,10.3724,-6.0897
151590270.9960,3.0279,10.6123,-6.3797
151690795.8980,3.2193,11.2521,-6.3697
151791320.8010,3.8407,10.8520,-6.0297
151891845.7030,3.1020,10.8619,-6.2397
151992370.6050,2.9234,11.5218,-6.5997
152092895.5080,3.3648,10.8716,-6.4197
152193420.4100,3.4462,10.3115,-6.4197
152293945.3120,3.1876,10.8114,-6.3497
152394470.2150,3.4889,10.8312,-6.3497
152494995.1170,3.0389,10.5812,-6.3697
152595520.0200,3.0387,10.6912,-6.2297
152696044.9220,3.2786,10.5913,-7.1197
152796569.8240,3.2385,10.6013,-6.8197
152897094.7270,2.6583,10.4913,-6.6797
152997619.6290,3.1382,10.5013,-6.8597
153098144.5310,3.3781,10.2813,-6.9497
153198669.4340,2.8779,10.4713,-6.9997
153299194.3360,3.2878,10.0613,-6.5197
153399719.2380,3.5177,10.2614,-6.8397
153500244.1410,3.1175,10.5914,-6.3397
153600769.0430,2.9874,10.0314,-6.1997
153701293.9450,2.8872,10.1514,-6.2697
153801818.8480,3.1069,10.4214,-6.2497
153902343.7500,3.7251,10.6314,-6.0397
154002868.6520,3.2334,10.1514,-6.2397
154103393.5550,3.1717,10.4214,-6.9097
154203918.4570,3.1499,10.6714,-6.4197
154304443.3590,3.5082,10.9014,-6.4597
